DataProyectoMineria_Sexo,DataProyectoMineria_Zona,DataProyectoMineria_Departamento,DataProyectoMineria_Etario,DataProyectoMineria_Grupo,DataProyectoMineria_No_carente,DataProyectoMineria_Valor,DataProyectoMineria_Total,DataProyectoMineria_Proporción,DataProyectoMineria_Variable,DataProyectoMineria_ID,DataProyectoMineria_Nombre_dpto
Hombre,Rural,5,Mayor,Colombiana,49274.77,319043.7,368318.5,0.86621687479722,Sin internet,3852,Antioquia
Hombre,Rural,5,Mayor,Colombiana,72353.52,295965,368318.5,0.80355724732806,Sin alcantarillado,2784,Antioquia
Hombre,Rural,5,Mayor,Colombiana,162106.48,38441.09,200547.6,0.191680628439333,Sin suministro continuo de agua,2282,Antioquia
Hombre,Rural,5,Mayor,Colombiana,184657.3,183661.2,368318.5,0.498647773598122,Sin recogida de basuras,1214,Antioquia
Hombre,Rural,5,Mayor,Colombiana,200547.6,167770.9,368318.5,0.455504950199352,Sin acueducto,1748,Antioquia
Hombre,Rural,5,Mayor,Colombiana,224278.5,144040,368318.5,0.391074572686411,Sin sanitario,4920,Antioquia
Hombre,Rural,5,Mayor,Colombiana,270490.4,97828.09,368318.5,0.265607320837807,Hacinamiento,680,Antioquia
Hombre,Rural,5,Mayor,Colombiana,271252.8,97065.73,368318.5,0.263537481826191,Sin combustible adecuado para cocinar,146,Antioquia
Hombre,Rural,5,Mayor,Colombiana,313753.2,15853.87,329607,0.0480993122112091,Sin empleo,7041,Antioquia
Hombre,Rural,5,Mayor,Colombiana,316508.2,51810.33,368318.5,0.140667194289725,Sin refrigerador,4386,Antioquia
Hombre,Rural,5,Mayor,Colombiana,324841,43477.47,368318.5,0.118043133863762,Sin pisos duraderos,5988,Antioquia
Hombre,Rural,5,Mayor,Colombiana,327329.65,40988.86,368318.5,0.111286454522377,Sin espacio exclusivo para la cocina,3318,Antioquia
Hombre,Rural,5,Mayor,Colombiana,347633.3,20685.26,368318.5,0.0561613386240441,Sin paredes duraderas,6522,Antioquia
Hombre,Rural,5,Mayor,Colombiana,365081.8,3236.694,368318.5,0.00878775842104049,Sin electricidad,5454,Antioquia
Hombre,Rural,5,Mayor,Retornada,0,539.34833,539.34833,1,Hacinamiento,681,Antioquia
Hombre,Rural,5,Mayor,Retornada,0,539.34833,539.34833,1,Sin alcantarillado,2785,Antioquia
Hombre,Rural,5,Mayor,Retornada,0,539.34833,539.34833,1,Sin espacio exclusivo para la cocina,3319,Antioquia
Hombre,Rural,5,Mayor,Retornada,0,539.34833,539.34833,1,Sin internet,3853,Antioquia
Hombre,Rural,5,Mayor,Retornada,0,539.34833,539.34833,1,Sin sanitario,4921,Antioquia
Hombre,Rural,5,Mayor,Retornada,539.34833,0,539.34833,0,Sin acueducto,1749,Antioquia
Hombre,Rural,5,Mayor,Retornada,539.34833,0,539.34833,0,Sin combustible adecuado para cocinar,147,Antioquia
Hombre,Rural,5,Mayor,Retornada,539.34833,0,539.34833,0,Sin electricidad,5455,Antioquia
Hombre,Rural,5,Mayor,Retornada,539.34833,0,539.34833,0,Sin empleo,7042,Antioquia
Hombre,Rural,5,Mayor,Retornada,539.34833,0,539.34833,0,Sin paredes duraderas,6523,Antioquia
Hombre,Rural,5,Mayor,Retornada,539.34833,0,539.34833,0,Sin pisos duraderos,5989,Antioquia
Hombre,Rural,5,Mayor,Retornada,539.34833,0,539.34833,0,Sin recogida de basuras,1215,Antioquia
Hombre,Rural,5,Mayor,Retornada,539.34833,0,539.34833,0,Sin refrigerador,4387,Antioquia
Hombre,Rural,5,Mayor,Retornada,539.34833,0,539.34833,0,Sin suministro continuo de agua,2283,Antioquia
Hombre,Rural,5,Mayor,Venezolana,0,4171.847,4171.847,1,Sin internet,3854,Antioquia
Hombre,Rural,5,Mayor,Venezolana,1148.083,418.755722,1566.839,0.267261487619341,Sin suministro continuo de agua,2284,Antioquia
Hombre,Rural,5,Mayor,Venezolana,1148.083,3023.7639,4171.847,0.724802203915915,Sin alcantarillado,2786,Antioquia
Hombre,Rural,5,Mayor,Venezolana,1566.839,2605.008,4171.847,0.624425584159726,Sin acueducto,1750,Antioquia
Hombre,Rural,5,Mayor,Venezolana,1660.144,2511.703,4171.847,0.602060190606223,Sin recogida de basuras,1216,Antioquia
Hombre,Rural,5,Mayor,Venezolana,1847.492,2324.355,4171.847,0.557152503435529,Sin sanitario,4922,Antioquia
Hombre,Rural,5,Mayor,Venezolana,2106.763,2065.084,4171.847,0.495004730518641,Hacinamiento,682,Antioquia
Hombre,Rural,5,Mayor,Venezolana,2389.651,1782.196,4171.847,0.427195915861727,Sin espacio exclusivo para la cocina,3320,Antioquia
Hombre,Rural,5,Mayor,Venezolana,3565.743,606.1039,4171.847,0.145284306926884,Sin combustible adecuado para cocinar,148,Antioquia
Hombre,Rural,5,Mayor,Venezolana,3641.705,530.14214,4171.847,0.127076122398544,Sin refrigerador,4388,Antioquia
Hombre,Rural,5,Mayor,Venezolana,4039.047,132.80006,4171.847,0.0318324377667733,Sin empleo,7043,Antioquia
Hombre,Rural,5,Mayor,Venezolana,4171.847,0,4171.847,0,Sin electricidad,5456,Antioquia
Hombre,Rural,5,Mayor,Venezolana,4171.847,0,4171.847,0,Sin paredes duraderas,6524,Antioquia
Hombre,Rural,5,Mayor,Venezolana,4171.847,0,4171.847,0,Sin pisos duraderos,5990,Antioquia
Hombre,Rural,5,Menor,Colombiana,20205.68,960.31953,21166,0.0453708556174998,Sin empleo,7040,Antioquia
Hombre,Rural,5,Menor,Colombiana,20274.84,188067.9,208342.79,0.902684945324962,Sin internet,3850,Antioquia
Hombre,Rural,5,Menor,Colombiana,36465.01,171877.8,208342.79,0.82497599268974,Sin alcantarillado,2782,Antioquia
Hombre,Rural,5,Menor,Colombiana,76643.87,27792.39,104436.3,0.266118102613746,Sin suministro continuo de agua,2280,Antioquia
Hombre,Rural,5,Menor,Colombiana,94285.76,114057,208342.79,0.547448750206331,Sin recogida de basuras,1212,Antioquia
Hombre,Rural,5,Menor,Colombiana,104436.3,103906.5,208342.79,0.498728561713127,Sin acueducto,1746,Antioquia
Hombre,Rural,5,Menor,Colombiana,108449.5,99893.3,208342.79,0.479466076075875,Hacinamiento,678,Antioquia
Hombre,Rural,5,Menor,Colombiana,118112,90230.83,208342.79,0.43308832525474,Sin sanitario,4918,Antioquia
Hombre,Rural,5,Menor,Colombiana,138851.9,69490.9,208342.79,0.333541179898762,Sin combustible adecuado para cocinar,144,Antioquia
Hombre,Rural,5,Menor,Colombiana,169486,38856.77,208342.79,0.186504030209061,Sin refrigerador,4384,Antioquia
Hombre,Rural,5,Menor,Colombiana,176145.2,32197.62,208342.79,0.154541561049461,Sin pisos duraderos,5986,Antioquia
Hombre,Rural,5,Menor,Colombiana,188162.9,20179.86,208342.79,0.0968589313793868,Sin espacio exclusivo para la cocina,3316,Antioquia
Hombre,Rural,5,Menor,Colombiana,200272.3,8070.455,208342.79,0.0387364256761657,Sin paredes duraderas,6520,Antioquia
Hombre,Rural,5,Menor,Colombiana,206381.6,1961.227,208342.79,0.00941346230411909,Sin electricidad,5452,Antioquia
Hombre,Rural,5,Menor,Venezolana,585.74837,2095.068,2680.816,0.781503840621662,Hacinamiento,679,Antioquia
Hombre,Rural,5,Menor,Venezolana,717.19531,1963.621,2680.816,0.732471381847915,Sin internet,3851,Antioquia
Hombre,Rural,5,Menor,Venezolana,1115.5955,0,1115.5955,0,Sin suministro continuo de agua,2281,Antioquia
Hombre,Rural,5,Menor,Venezolana,1115.5955,1565.221,2680.816,0.583859914294752,Sin acueducto,1747,Antioquia
Hombre,Rural,5,Menor,Venezolana,1115.5955,1565.221,2680.816,0.583859914294752,Sin alcantarillado,2783,Antioquia
Hombre,Rural,5,Menor,Venezolana,1115.5955,1565.221,2680.816,0.583859914294752,Sin recogida de basuras,1213,Antioquia
Hombre,Rural,5,Menor,Venezolana,1565.221,1115.5955,2680.816,0.416140272215624,Sin refrigerador,4385,Antioquia
Hombre,Rural,5,Menor,Venezolana,1651.443,1029.373,2680.816,0.383977490435748,Sin sanitario,4919,Antioquia
Hombre,Rural,5,Menor,Venezolana,2144.968,535.84787,2680.816,0.199882375366306,Sin espacio exclusivo para la cocina,3317,Antioquia
Hombre,Rural,5,Menor,Venezolana,2493.468,187.348175,2680.816,0.0698847571038072,Sin combustible adecuado para cocinar,145,Antioquia
Hombre,Rural,5,Menor,Venezolana,2680.816,0,2680.816,0,Sin electricidad,5453,Antioquia
Hombre,Rural,5,Menor,Venezolana,2680.816,0,2680.816,0,Sin paredes duraderas,6521,Antioquia
Hombre,Rural,5,Menor,Venezolana,2680.816,0,2680.816,0,Sin pisos duraderos,5987,Antioquia
Hombre,Rural,8,Mayor,Colombiana,1407.553,84993.17,86400.72,0.983709047794972,Sin alcantarillado,2790,Atlántico
Hombre,Rural,8,Mayor,Colombiana,5317.7513,81082.97,86400.72,0.938452480488589,Sin internet,3858,Atlántico
Hombre,Rural,8,Mayor,Colombiana,24182.26,44011.72,68193.97,0.645390200922457,Sin suministro continuo de agua,2287,Atlántico
Hombre,Rural,8,Mayor,Colombiana,53043.02,33357.7,86400.72,0.386081273396796,Sin espacio exclusivo para la cocina,3324,Atlántico
Hombre,Rural,8,Mayor,Colombiana,53489.54,32911.18,86400.72,0.380913260908011,Hacinamiento,686,Atlántico
Hombre,Rural,8,Mayor,Colombiana,55086.01,31314.71,86400.72,0.362435752850208,Sin recogida de basuras,1220,Atlántico
Hombre,Rural,8,Mayor,Colombiana,62404.18,23996.55,86400.72,0.277735532759449,Sin combustible adecuado para cocinar,152,Atlántico
Hombre,Rural,8,Mayor,Colombiana,68193.97,18206.75,86400.72,0.210724517110506,Sin acueducto,1754,Atlántico
Hombre,Rural,8,Mayor,Colombiana,69880.934,16519.79,86400.72,0.191199679817483,Sin refrigerador,4392,Atlántico
Hombre,Rural,8,Mayor,Colombiana,73731.5,3034.16,76765.66,0.0395249646782168,Sin empleo,7045,Atlántico
Hombre,Rural,8,Mayor,Colombiana,79387.46,7013.268,86400.72,0.0811714069049425,Sin sanitario,4926,Atlántico
Hombre,Rural,8,Mayor,Colombiana,84334.382,2066.343,86400.72,0.0239158076460474,Sin electricidad,5460,Atlántico
Hombre,Rural,8,Mayor,Colombiana,84871.77,1528.954,86400.72,0.0176960793845236,Sin pisos duraderos,5994,Atlántico
Hombre,Rural,8,Mayor,Colombiana,85951.6,449.1273,86400.72,0.00519818932064455,Sin paredes duraderas,6528,Atlántico
Hombre,Rural,8,Mayor,Retornada,0,4875.075,4875.075,1,Sin alcantarillado,2791,Atlántico
Hombre,Rural,8,Mayor,Retornada,0,4875.075,4875.075,1,Sin internet,3859,Atlántico
Hombre,Rural,8,Mayor,Retornada,1069.342,1653.155,2722.497,0.607220136514384,Sin suministro continuo de agua,2288,Atlántico
Hombre,Rural,8,Mayor,Retornada,1216.063,3659.012,4875.075,0.750555017102301,Sin recogida de basuras,1221,Atlántico
Hombre,Rural,8,Mayor,Retornada,1620.294,3254.781,4875.075,0.66763711327518,Sin espacio exclusivo para la cocina,3325,Atlántico
Hombre,Rural,8,Mayor,Retornada,2257.811,2617.263,4875.075,0.53686620205843,Hacinamiento,687,Atlántico
Hombre,Rural,8,Mayor,Retornada,2568.704,2306.3703,4875.075,0.473094321625821,Sin refrigerador,4393,Atlántico
Hombre,Rural,8,Mayor,Retornada,2722.497,2152.5778,4875.075,0.441547627472398,Sin acueducto,1755,Atlántico
Hombre,Rural,8,Mayor,Retornada,2747.594,2127.4805,4875.075,0.43639954257114,Sin combustible adecuado para cocinar,153,Atlántico
Hombre,Rural,8,Mayor,Retornada,4465.473,409.60156,4875.075,0.0840195402122019,Sin paredes duraderas,6529,Atlántico
Hombre,Rural,8,Mayor,Retornada,4465.473,409.60156,4875.075,0.0840195402122019,Sin pisos duraderos,5995,Atlántico
Hombre,Rural,8,Mayor,Retornada,4465.473,409.60156,4875.075,0.0840195402122019,Sin sanitario,4927,Atlántico
Hombre,Rural,8,Mayor,Retornada,4670.274,0,4670.274,0,Sin empleo,7046,Atlántico
Hombre,Rural,8,Mayor,Retornada,4875.075,0,4875.075,0,Sin electricidad,5461,Atlántico
Hombre,Rural,8,Mayor,Venezolana,0,7172.271,7172.271,1,Sin internet,3860,Atlántico
Hombre,Rural,8,Mayor,Venezolana,1376.16,5796.111,7172.271,0.808127718542704,Sin alcantarillado,2792,Atlántico
Hombre,Rural,8,Mayor,Venezolana,2755.345,4416.926,7172.271,0.615833673880979,Sin refrigerador,4394,Atlántico
Hombre,Rural,8,Mayor,Venezolana,2767.075,3084.245,5851.32,0.527102431588086,Sin suministro continuo de agua,2289,Atlántico
